epoch,price
1620260799.608346,1.38000000
1620260799.609703,1.38000000
1620260799.611856,1.37924000
1620260799.614113,1.37862000
1620260799.615750,1.37816000
1620260799.617589,1.37800000
1620260799.619167,1.37800000
1620260799.620841,1.37800000
1620260799.622972,1.37773000
1620260799.649231,1.37773000
1620260799.651262,1.37773000
1620260799.653280,1.37773000
1620260799.655203,1.37773000
1620260804.505309,1.38114000
1620260804.670012,1.37968000
1620260806.383936,1.37877000
1620260807.309800,1.37783000
1620260808.122240,1.38032000
1620260808.338343,1.38110000
1620260811.094071,1.37820000
1620260811.095494,1.37820000
1620260811.156478,1.37790000
1620260811.228597,1.37790000
1620260811.417960,1.37789000
1620260813.756344,1.37788000
1620260816.052807,1.37933000
1620260816.517953,1.37864000
1620260816.521178,1.37864000
1620260816.522556,1.37713000
1620260816.524065,1.37700000
1620260816.526530,1.37700000
1620260816.528423,1.37700000
1620260816.531082,1.37700000
1620260816.533533,1.37700000
1620260816.536142,1.37700000
1620260816.538579,1.37700000
1620260816.541010,1.37700000
1620260816.543430,1.37700000
1620260816.545891,1.37700000
1620260816.548376,1.37700000
1620260816.550851,1.37700000
1620260816.553188,1.37700000
1620260816.554797,1.37700000
1620260816.556435,1.37700000
1620260816.558220,1.37700000
1620260816.559399,1.37609000
1620260817.420285,1.37609000
1620260817.424400,1.37609000
1620260817.428481,1.37609000
1620260817.432125,1.37609000
1620260817.435668,1.37609000
1620260817.439243,1.37609000
1620260817.443198,1.37609000
1620260817.447087,1.37609000
1620260817.448684,1.37608000
1620260817.449911,1.37532000
1620260817.453093,1.37532000
1620260817.455824,1.37532000
1620260817.458706,1.37532000
1620260817.462071,1.37532000
1620260817.465615,1.37532000
1620260817.468338,1.37532000
1620260817.471002,1.37532000
1620260817.776639,1.37525000
1620260817.777655,1.37501000
1620260818.197766,1.37501000
1620260821.787759,1.37592000
1620260822.868429,1.37659000
1620260822.869702,1.37660000
1620260823.170467,1.37641000
1620260825.395837,1.38076000
1620260828.545382,1.38000000
1620260828.546693,1.38198000
1620260828.548031,1.38200000
1620260828.549255,1.38272000
1620260828.550525,1.38310000
1620260830.393893,1.38074000
1620260830.420946,1.38260000
1620260830.423007,1.38261000
1620260830.701473,1.38070000
1620260830.706562,1.37966000
1620260831.019542,1.37967000
1620260831.222244,1.38189000
1620260832.041413,1.38333000
1620260832.816969,1.38282000
1620260834.693852,1.38419000
1620260844.250105,1.38467000
1620260851.503544,1.38484000
1620260852.047672,1.38588000
1620260852.050513,1.38588000
1620260852.052713,1.38588000
1620260852.719268,1.38670000
1620260852.720836,1.38812000
1620260853.531516,1.38867000
1620260855.279364,1.38853000
1620260855.700146,1.38856000
1620260860.108737,1.38935000
1620260861.715849,1.38934000
1620260863.722881,1.38671000
1620260865.977603,1.38801000
1620260877.668120,1.38516000
1620260884.695418,1.38417000
1620260884.697253,1.38426000
1620260887.741490,1.38228000
1620260887.743171,1.38228000
1620260887.744317,1.38228000
1620260887.745452,1.38228000
1620260888.080578,1.38380000
1620260895.593933,1.38183000
1620260907.265075,1.38799000
1620260909.143617,1.38485000
1620260909.147379,1.38485000
1620260909.150182,1.38485000
1620260909.153168,1.38485000
1620260909.438569,1.38798000
1620260910.002141,1.38798000
1620260910.004848,1.38801000
1620260910.343402,1.38801000
1620260910.390523,1.38801000
1620260910.392437,1.38801000
1620260910.393819,1.38801000
1620260910.395267,1.38801000
1620260911.011044,1.38867000
1620260911.888112,1.39000000
1620260913.629775,1.38961000
1620260913.645186,1.39106000
1620260913.646972,1.39107000
1620260913.648354,1.39176000
1620260913.650632,1.39214000
1620260918.790932,1.39362000
1620260918.792995,1.39362000
1620260918.794615,1.39362000
1620260918.796330,1.39362000
1620260918.797349,1.39402000
1620260918.798816,1.39503000
1620260918.800442,1.39504000
1620260918.801900,1.39524000
1620260920.387777,1.39322000
1620260925.727777,1.39051000
1620260931.445411,1.39000000
1620260931.452314,1.38994000
1620260934.075571,1.38713000
1620260934.550666,1.38713000
1620260934.552928,1.38711000
1620260936.381109,1.38699000
1620260942.509211,1.38902000
1620260944.963278,1.38855000
1620260948.276526,1.38784000
1620260956.608680,1.38494000
1620260956.610352,1.38490000
1620260956.611484,1.38479000
1620260958.850187,1.38774000
1620260958.852226,1.38774000
1620260963.528126,1.38961000
1620260963.529593,1.38997000
1620260963.531050,1.39000000
1620260963.532157,1.39117000
1620260966.011045,1.39175000
1620260966.012730,1.39176000
1620260966.013990,1.39227000
1620260966.014991,1.39352000
1620260966.016285,1.39352000
1620260966.017381,1.39353000
1620260968.443141,1.39000000
1620260968.450390,1.39000000
1620260973.279983,1.39321000
1620260973.677684,1.39286000
1620260977.073302,1.39545000
1620260979.178537,1.39545000
1620260979.179932,1.39651000
1620260982.707963,1.39530000
1620260982.709474,1.39515000
1620260982.710743,1.39418000
1620260983.907845,1.39564000
1620260984.467480,1.39564000
1620260986.645877,1.39699000
1620260991.583684,1.39815000
1620260992.600042,1.39885000
1620260994.567080,1.39985000
1620260994.584539,1.39985000
1620260994.744544,1.40010000
1620260995.070917,1.40022000
